V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,Class
Novelty,Medium,4.2,M,Winter,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,animal,2
bohemian,Low,5.0,free,Spring,o-neck,short,natural,nylon,jersey,sashes,print,2
Casual,low,5.0,free,Spring,bowneck,sleevless,natural,silk,chiffon,applique,print,1
Sexy,Low,4.8,free,Spring,slash-neck,sleevless,natural,cotton,broadcloth,sequined,solid,1
Casual,Average,4.5,M,Winter,o-neck,sleevless,natural,polyster,chiffon,ruched,striped,1
work,Average,4.9,M,Winter,slash-neck,short,natural,polyster,broadcloth,ruffles,solid,1
Casual,Low,4.7,free,Spring,o-neck,halfsleeve,natural,silk,chiffon,sashes,print,1
Casual,Average,4.8,M,Spring,o-neck,sleevless,natural,cotton,chiffon,hollowout,print,1
Casual,Low,4.7,L,Summer,o-neck,sleevless,natural,silk,worsted,lace,patchwork,1
vintage,low,4.0,free,Summer,turndowncollor,short,natural,cotton,wollen,hollowout,solid,1
bohemian,low,5.0,free,Summer,o-neck,sleevless,empire,cotton,broadcloth,tassel,print,2
Sexy,Average,4.8,S,Winter,v-neck,sleevless,empire,polyster,chiffon,lace,solid,1
Casual,Average,4.8,free,Summer,o-neck,sleevless,natural,cotton,chiffon,sashes,solid,1
Casual,Low,4.0,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,hollowout,print,1
Casual,Average,4.5,L,Summer,o-neck,short,natural,cotton,jersey,pockets,solid,1
cute,Average,4.6,M,Automn,o-neck,thressqatar,natural,silk,chiffon,sashes,print,1
bohemian,Average,4.0,free,Winter,o-neck,sleevless,natural,polyster,chiffon,ruffles,striped,1
Casual,Average,0.0,XL,Winter,v-neck,short,empire,polyster,shiffon,pockets,solid,2
Casual,Low,5.0,free,Summer,o-neck,sleevless,natural,model,jersey,plain,solid,2
Casual,Low,4.7,L,Summer,o-neck,full,natural,mix,worsted,lace,patchwork,2
bohemian,Average,4.6,M,Spring,o-neck,sleevless,natural,shiffon,shiffon,sashes,solid,1
bohemian,Low,4.6,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,beading,solid,1
cute,Low,4.8,M,Spring,o-neck,short,natural,shiffon,shiffon,bow,dot,2
Casual,Medium,4.9,L,Winter,o-neck,short,natural,cotton,broadcloth,sashes,solid,1
Sexy,low,4.4,free,Automn,v-neck,sleevless,natural,cotton,worsted,lace,solid,1
Sexy,Average,0.0,free,Spring,v-neck,full,natural,cotton,wollen,lace,solid,2
Sexy,Average,0.0,free,Autumn,o-neck,full,natural,polyster,sattin,hollowout,solid,1
Novelty,Average,4.9,M,Autumn,o-neck,short,natural,polyster,chiffon,none,print,1
cute,Average,4.5,L,winter,v-neck,sleevless,natural,polyster,jersey,sashes,solid,2
Casual,Low,4.6,free,Spring,v-neck,sleevless,natural,silk,chiffon,draped,solid,1
Casual,Average,4.5,free,Autumn,o-neck,halfsleeve,natural,cotton,chiffon,hollowout,solid,2
cute,Average,4.7,L,Summer,o-neck,sleevless,natural,polyster,broadcloth,lace,solid,1
cute,high,4.3,M,Spring,boat-neck,full,natural,polyster,terry,lace,solid,2
Sexy,Low,0.0,free,winter,o-neck,sleevless,natural,lycra,chiffon,hollowout,solid,1
cute,Low,0.0,free,Spring,v-neck,sleevless,natural,silk,worsted,lace,patchwork,2
Casual,Average,0.0,L,Spring,o-neck,sleevless,natural,chiffonfabric,chiffon,sequined,solid,1
cute,Average,4.7,M,Spring,o-neck,full,natural,rayon,chiffon,beading,solid,2
Casual,Average,4.6,M,winter,v-neck,halfsleeve,natural,silk,chiffon,sashes,solid,2
Casual,Average,0.0,free,winter,o-neck,short,natural,polyster,chiffon,cascading,solid,1
Sexy,Average,0.0,free,winter,slash-neck,sleevless,natural,cotton,broadcloth,sequined,solid,2
Casual,Low,4.4,M,Summer,o-neck,halfsleeve,empire,chiffonfabric,chiffon,bow,solid,1
Casual,Low,4.8,free,winter,bowneck,full,natural,polyster,chiffon,bow,solid,1
bohemian,Low,4.6,free,Summer,o-neck,sleevless,natural,cotton,chiffon,none,solid,2
Casual,Average,4.6,L,winter,boat-neck,sleevless,empire,silk,broadcloth,applique,print,2
Casual,Low,4.4,free,Summer,v-neck,short,empire,cotton,Corduroy,lace,solid,1
